#,contestId,contestName,index,name,rating,solvedCount,tags,link,division
1,1360,Codeforces Round 644 (Div. 3),E,Polygon,1300,26921,dp;graphs;implementation;shortest paths,https://codeforces.com/contest/1360/problem/E,div3
2,1433,Codeforces Round 677 (Div. 3),E,Two Round Dances,1300,19272,combinatorics;math,https://codeforces.com/contest/1433/problem/E,div3
3,1899,Codeforces Round 909 (Div. 3),E,Queue Sort,1300,17371,greedy;implementation;sortings,https://codeforces.com/contest/1899/problem/E,div3
4,2091,Codeforces Round 1013 (Div. 3),E,Interesting Ratio,1300,17550,brute force;math;number theory;two pointers,https://codeforces.com/contest/2091/problem/E,div3
5,978,Codeforces Round 481 (Div. 3),E,Bus Video System,1400,10116,combinatorics;math,https://codeforces.com/contest/978/problem/E,div3
6,1490,Codeforces Round 702 (Div. 3),E,Accidental Victory,1400,20265,binary search;data structures;greedy,https://codeforces.com/contest/1490/problem/E,div3
7,1520,Codeforces Round 719 (Div. 3),E,Arranging The Sheep,1400,25047,greedy;math,https://codeforces.com/contest/1520/problem/E,div3
8,1714,Codeforces Round 811 (Div. 3),E,Add Modulo 10,1400,20079,brute force;math;number theory,https://codeforces.com/contest/1714/problem/E,div3
9,1790,Codeforces Round 847 (Div. 3),E,Vlad and a Pair of Numbers,1400,16556,bitmasks;constructive algorithms,https://codeforces.com/contest/1790/problem/E,div3
10,1878,Codeforces Round 900 (Div. 3),E,Iva & Pav,1400,16751,binary search;bitmasks;data structures;greedy,https://codeforces.com/contest/1878/problem/E,div3
11,1927,Codeforces Round 923 (Div. 3),E,Klever Permutation,1400,16090,constructive algorithms;math;two pointers,https://codeforces.com/contest/1927/problem/E,div3
12,1931,Codeforces Round 925 (Div. 3),E,Anna and the Valentine's Day Gift,1400,20926,games;greedy;math;sortings,https://codeforces.com/contest/1931/problem/E,div3
13,2000,Codeforces Round 966 (Div. 3),E,Photoshoot for Gorillas,1400,15344,combinatorics;data structures;greedy;math,https://codeforces.com/contest/2000/problem/E,div3
14,2033,Codeforces Round 981 (Div. 3),E,"Sakurako, Kosuke, and the Permutation",1400,13101,brute force;data structures;dfs and similar;dsu;graphs;greedy;math,https://codeforces.com/contest/2033/problem/E,div3
15,2114,Codeforces Round 1027 (Div. 3),E,Kirei Attacks the Estate,1400,11512,dfs and similar;dp;greedy;trees,https://codeforces.com/contest/2114/problem/E,div3
16,2123,Codeforces Round 1034 (Div. 3),E,MEX Count,1400,12342,binary search;data structures;greedy;sortings;two pointers,https://codeforces.com/contest/2123/problem/E,div3
17,2126,Codeforces Round 1037 (Div. 3),E,"G-C-D, Unlucky!",1400,13611,math;number theory,https://codeforces.com/contest/2126/problem/E,div3
18,2131,Codeforces Round 1042 (Div. 3),E,Adjacent XOR,1400,13076,brute force;greedy,https://codeforces.com/contest/2131/problem/E,div3
19,977,Codeforces Round 479 (Div. 3),E,Cyclic Components,1500,23521,dfs and similar;dsu;graphs,https://codeforces.com/contest/977/problem/E,div3
20,1203,Codeforces Round 579 (Div. 3),E,Boxers,1500,14450,greedy;sortings,https://codeforces.com/contest/1203/problem/E,div3
21,1506,Codeforces Round 710 (Div. 3),E,Restoring the Permutation,1500,13843,constructive algorithms;implementation,https://codeforces.com/contest/1506/problem/E,div3
22,1547,Codeforces Round 731 (Div. 3),E,Air Conditioners,1500,15580,data structures;dp;implementation;shortest paths;sortings;two pointers,https://codeforces.com/contest/1547/problem/E,div3
23,1675,Codeforces Round 787 (Div. 3),E,"Replace With the Previous, Minimize",1500,11583,dsu;greedy;strings,https://codeforces.com/contest/1675/problem/E,div3
24,1690,Codeforces Round 797 (Div. 3),E,Price Maximization,1500,16310,binary search;greedy;math;two pointers,https://codeforces.com/contest/1690/problem/E,div3
25,1759,Codeforces Round  834 (Div. 3),E,The Humanoid,1500,11888,brute force;dp;sortings,https://codeforces.com/contest/1759/problem/E,div3
26,1811,Codeforces Round 863 (Div. 3),E,Living Sequence,1500,13673,binary search;dp;math;number theory,https://codeforces.com/contest/1811/problem/E,div3
27,1851,Codeforces Round 888 (Div. 3),E,Nastya and Potions,1500,12132,dfs and similar;dp;graphs;sortings,https://codeforces.com/contest/1851/problem/E,div3
28,1857,Codeforces Round 891 (Div. 3),E,Power of Points,1500,14070,math;sortings,https://codeforces.com/contest/1857/problem/E,div3
29,1872,Codeforces Round 895 (Div. 3),E,Data Structures Fan,1500,17538,binary search;bitmasks;data structures;dp,https://codeforces.com/contest/1872/problem/E,div3
30,1881,Codeforces Round 903 (Div. 3),E,Block Sequence,1500,19280,dp,https://codeforces.com/contest/1881/problem/E,div3
31,1933,Codeforces Round 929 (Div. 3),E,Turtle vs. Rabbit Race: Optimal Trainings,1500,12679,binary search;implementation;math;ternary search,https://codeforces.com/contest/1933/problem/E,div3
32,2008,Codeforces Round 970 (Div. 3),E,Alternating String,1500,12216,brute force;data structures;dp;greedy;implementation;strings,https://codeforces.com/contest/2008/problem/E,div3
33,2050,Codeforces Round 991 (Div. 3),E,Three Strings,1500,12991,dp;implementation;strings,https://codeforces.com/contest/2050/problem/E,div3
34,2060,Codeforces Round 998 (Div. 3),E,Graph Composition,1500,10741,dfs and similar;dsu;graphs;greedy,https://codeforces.com/contest/2060/problem/E,div3
35,2072,Codeforces Round 1006 (Div. 3),E,Do You Love Your Hero and His Two-Hit Multi-Target Attacks?,1500,11057,binary search;brute force;constructive algorithms;dp;geometry;greedy;math,https://codeforces.com/contest/2072/problem/E,div3
36,2093,Codeforces Round 1016 (Div. 3),E,Min Max MEX,1500,11787,binary search;brute force;greedy,https://codeforces.com/contest/2093/problem/E,div3
37,2121,Codeforces Round 1032 (Div. 3),E,Sponsor of Your Problems,1500,11911,dp;greedy;implementation;strings,https://codeforces.com/contest/2121/problem/E,div3
38,1006,Codeforces Round 498 (Div. 3),E,Military Problem,1600,10844,dfs and similar;graphs;trees,https://codeforces.com/contest/1006/problem/E,div3
39,1165,Codeforces Round 560 (Div. 3),E,Two Arrays and Sum of Functions,1600,9271,greedy;math;sortings,https://codeforces.com/contest/1165/problem/E,div3
40,1475,Codeforces Round 697 (Div. 3),E,Advertising Agency,1600,15748,combinatorics;math;sortings,https://codeforces.com/contest/1475/problem/E,div3
41,1512,Codeforces Round 713 (Div. 3),E,Permutation by Sum,1600,11041,brute force;greedy;math,https://codeforces.com/contest/1512/problem/E,div3
42,1593,Codeforces Round 748 (Div. 3),E,Gardener and Tree,1600,13840,brute force;data structures;dfs and similar;greedy;implementation;trees,https://codeforces.com/contest/1593/problem/E,div3
43,1607,Codeforces Round 753 (Div. 3),E,Robot on the Board 1,1600,9786,implementation,https://codeforces.com/contest/1607/problem/E,div3
